product,category,claim,source_url,source_type,authority_score,human_approved,date_added,notes
toriut,architecture,"Toriut — это объединенная платформа Product Information Management (PIM) и Digital Asset Management (DAM)","https://toriut.com/",website,9,TRUE,2026-09-02,"Основное позиционирование на сайте"
toriut,architecture,"PIM-модуль Toriut построен на базе полноценного DAM-движка, унаследованного от Pics.io",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Техническая основа"
toriut,target_audience,"Платформа создана для e-commerce брендов, которые «переросли электронные таблицы (spreadsheets)»","https://toriut.com/",website,9,TRUE,2026-09-02,"Маркетинговый слоган"
toriut,use_case,"Система работает как единый централизованный мастер-каталог для управления информацией о товарах и медиафайлами для всех каналов продаж","https://toriut.com/",website,9,TRUE,2026-09-02,"Single source of truth"
toriut,architecture,"Концепция Master Product: базовая запись товара с универсальным описанием, не зависящим от площадки",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Ключевая сущность архитектуры"
toriut,architecture,"Концепция Variants: возможность создавать адаптированные версии Master Product под разные языки, цены и требования конкретных каналов продаж (например, для Amazon US и Shopify Germany)",internal_video_transcript,transcript,9,TRUE,2026-09-02,
toriut,feature,"Продвинутый импорт CSV-файлов от поставщиков с возможностью ручного маппинга (сопоставления) колонок на внутренние атрибуты системы",internal_video_transcript,transcript,9,TRUE,2026-09-02,
toriut,feature,"Импорт CSV поддерживает режим выборочного обновления данных для уже существующих в базе товаров (например, для массового обновления цен без перезаписи описаний)",internal_video_transcript,transcript,9,TRUE,2026-09-02,
toriut,feature,"Для сложного форматирования грязных CSV-файлов в интерфейс встроен готовый AI-промпт, который пользователь может применить во внешнем ChatGPT",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Обходной путь для AI-оптимизации"
toriut,feature,"Пользователи могут создавать кастомные атрибуты товаров различных типов: текст, multiline (с поддержкой визуального форматирования), списки, даты, ссылки, медиа, JSON",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Расширение базы данных"
toriut,feature,"Любой стандартный или кастомный атрибут товара в Toriut можно превратить в поисковый фильтр",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Критическое отличие от Shopify"
toriut,feature,"Наборы сложных поисковых фильтров можно сохранять как пресеты и организовывать по папкам для быстрого доступа команды",internal_video_transcript,transcript,9,TRUE,2026-09-02,
toriut,feature,"Функция Drafts (Черновики) позволяет заранее подготовить изменения товаров (например, цены для распродажи) и отложить их публикацию до определенной даты",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Планирование обновлений"
toriut,feature,"Медиа-функционал включает версионирование, конвертацию форматов (renditions) и обрезку изображений прямо внутри каталога товаров","https://toriut.com/",website,9,TRUE,2026-09-02,"Сильная сторона DAM"
toriut,feature,"Поддерживается кросс-объектный поиск: можно искать изображения, опираясь на свойства связанных с ними товаров (например, найти все фото для товаров со словом 'Jordan' в названии)",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Связка PIM и DAM"
toriut,feature,"Функция Websites (Порталы) позволяет формировать коллекции медиафайлов и делиться ими по публичной ссылке с внешними подрядчиками без приглашения их в воркспейс",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Гостевой доступ"
toriut,feature,"Система Roles and Permissions позволяет администратору гибко разделять права доступа: например, дать ретушеру доступ только к медиа, а копирайтеру — только к черновикам описаний",internal_video_transcript,transcript,9,TRUE,2026-09-02,
toriut,integration,"Toriut не требует обязательного подключения к Shopify для работы — его можно использовать как изолированную систему (standalone PIM)","https://toriut.com/",website,9,TRUE,2026-09-02,
toriut,integration,"Реализована глубокая нативная двусторонняя интеграция с платформой Shopify по API",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Главная интеграция"
toriut,integration,"Платформа позволяет публиковать и обновлять товары одновременно в нескольких разных магазинах Shopify одним нажатием кнопки",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Ускорение синдикации"
toriut,integration,"Для площадок без нативной интеграции (например, Amazon) создаются профили: данные маппятся в Toriut и экспортируются в отформатированный CSV для ручной загрузки в маркетплейс",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Ненативные каналы"
toriut,target_audience,"Платформа оптимизирована для Fashion индустрии: позволяет легко управлять огромным количеством вариантов товаров (цвета, размеры, материалы)","https://toriut.com/pim-for-fashion",website,9,TRUE,2026-09-02,"Нишевое позиционирование"
toriut,target_audience,"Платформа имеет выделенные решения и лендинги для Cosmetics & Beauty индустрии","https://toriut.com/pim-for-cosmetics",website,9,TRUE,2026-09-02,"Нишевое позиционирование"
toriut,pricing,"Стартовая цена подписки на Toriut составляет $200 в месяц",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Ценовая стратегия"
toriut,pricing,"Toriut позиционируется как более доступное решение (affordable) с щедрыми лимитами по сравнению с Enterprise PIM-системами вроде Akeneo (цена которых начинается от ~$3000/мес)",internal_video_transcript,transcript,9,TRUE,2026-09-02,"Конкурентное преимущество"
toriut,roadmap,"В разработке находится функционал Bulk Actions (Bulk Edit) для массового табличного редактирования описаний, цен и медиафайлов десятков товаров одновременно",internal_video_transcript,transcript,9,TRUE,2026-09-02,
toriut,roadmap,"В краткосрочных планах реализация прямых нативных интеграций с Amazon и Google Merchant Center",internal_video_transcript,transcript,9,TRUE,2026-09-02,
toriut,roadmap,"Планируется внедрение AI для автоматического перевода описаний товаров на разные языки прямо в платформе",internal_video_transcript,transcript,9,TRUE,2026-09-02,
toriut,roadmap,"Планируется портирование функций Video Intelligence и Image Intelligence из Pics.io в Toriut для автоматического анализа визуального контента товаров",internal_video_transcript,transcript,9,TRUE,2026-09-02,
